PnETSpeciesParameters																														
SpeciesName	GrMstSens	FolN	TOfol	FolRet	TOroot	TOwood	GDDFolSt	CDDFolEnd	KWdLit	KNWdLit	AmaxA	AmaxB	HalfSat	BFolResp	WltPnt	PsnAgeRed	Q10	PsnTMin	PsnTOpt	SLWmax	SLWDel	k	DVPD1	DVPD2	WUEcnst	MaintResp	DNSC	RtStRatio	EstMoist	EstRad
acerrubr	4	2.39	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	4	20
acersacc	4	2.39	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
caryglab	4	2.55	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
fraxamer	4	2.3	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
juglnigr	4	2.4	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
lirituli	4	4.12	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
magnacum	4	2.4	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
nysssylv	4	2.6	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
pinuechi	4	2.4	0.35	0	0.05	0.01	2	10	0.001	0.01	-46	71.9	250	0.1	0.1	100	2	3	24	170	0.2	0.5	0.05	2	10.9	0.005	0.02	0.35	10	10
pinupung	4	2.4	0.35	0	0.05	0.01	2	10	0.001	0.01	-46	71.9	250	0.1	0.1	100	2	3	24	170	0.2	0.5	0.05	2	10.9	0.005	0.02	0.35	20	0
pinurigi	4	2.4	0.35	0	0.05	0.01	2	10	0.001	0.01	-46	71.9	250	0.1	0.1	100	2	3	24	170	0.2	0.5	0.05	2	10.9	0.005	0.02	0.35	10	10
pinustro	4	2.6	0.35	0	0.05	0.01	2	10	0.001	0.01	-46	71.9	250	0.1	0.1	100	2	3	24	170	0.2	0.5	0.05	2	10.9	0.005	0.02	0.35	10	10
pinuvirg	4	1.1	0.35	0	0.05	0.01	2	10	0.001	0.01	-46	71.9	250	0.1	0.1	100	2	3	24	170	0.2	0.5	0.05	2	10.9	0.005	0.02	0.35	20	0
prunsero	4	3.7	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
queralba	4	2.49	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
quercocc	4	2.09	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
querprin	4	2.72	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
querrubr	4	2.87	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
quervelu	4	2.54	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
robipseu	4	2.4	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	20	0
sassalbi	4	2.4	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
tiliamer	4	3.92	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
tsugcana	4	2.4	0.35	0	0.05	0.01	2	10	0.001	0.01	-46	71.9	250	0.1	0.1	100	2	3	24	170	0.2	0.5	0.05	2	10.9	0.005	0.02	0.35	4	20
ulmuamer	4	2.4	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
castdent	4	2.4	1	0.7	0.05	0.01	2	10	0.001	0.01	5.3	21.5	250	0.1	0.1	100	2	3	24	170	0.2	0.58	0.05	2	10.9	0.005	0.02	0.35	10	10
