PnETSpeciesParameters																														
SpeciesName	GrMstSens	FolN	TOfol	FolRet	TOroot	TOwood	KWdLit	FolLignin	GDDFolSt	CDDFolEnd	AmaxA	AmaxB	HalfSat	BFolResp	WltPnt	PsnAgeRed	Q10	PsnTMin	PsnTOpt	SLWmax	SLWDel	k	DVPD1	DVPD2	WUEcnst	MaintResp	DNSC	RtStRatio	EstMoist	EstRad
abiebals	0.8	2.39	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
acerrubr	0.8	2.39	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
acersacc	0.8	2.39	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
betualle	0.8	2.39	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
betupapy	0.8	2.39	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
fraxamer	0.8	2.3	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
piceglau	0.8	2.6	0.35	0	0.05	0.02	0.001	0.01	10	10	-46	71.9	300	0.2	0.03	2	2	3	24	170	0.2	0.5	0.05	2	5.45	0.001	0.03	0.25	10	10
pinubank	0.8	2.6	0.35	0	0.05	0.02	0.001	0.01	10	10	-46	71.9	300	0.2	0.03	2	2	3	24	170	0.2	0.5	0.05	2	5.45	0.001	0.03	0.25	10	10
pinuresi	0.8	2.6	0.35	0	0.05	0.02	0.001	0.01	10	10	-46	71.9	300	0.2	0.03	2	2	3	24	170	0.2	0.5	0.05	2	5.45	0.001	0.03	0.25	10	10
pinustro	0.8	2.6	0.35	0	0.05	0.02	0.001	0.01	10	10	-46	71.9	300	0.2	0.03	2	2	3	24	170	0.2	0.5	0.05	2	5.45	0.001	0.03	0.25	10	10
poputrem	0.8	2.87	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
querelli	0.8	2.87	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
querrubr	0.8	2.87	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
thujocci	0.8	3.92	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
tiliamer	0.8	3.92	1	0.7	0.05	0.02	0.001	0.01	10	10	5.3	21.5	300	0.2	0.03	2	2	3	24	170	0.2	0.58	0.05	2	5.45	0.001	0.03	0.2	10	10
tsugcana	0.8	2.6	0.35	0	0.05	0.02	0.001	0.01	10	10	-46	71.9	300	0.2	0.03	2	2	3	24	170	0.2	0.5	0.05	2	5.45	0.001	0.03	0.25	10	10
